ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-1.39055 -0.599019 0.0939563 1.44616 -0.14918 0.630083 -0.412257 -0.554884 -0.494801 0.0746128 1.06107 -0.0844303 -0.648739 -0.0361283 3.864 -19.016 3.452 -8.452 0.128 0.328 0.128
-1.39094 -0.60017 0.0939563 1.44808 -0.149947 0.628549 -0.413024 -0.552135 -0.498335 0.0828595 1.065 -0.0828595 -0.612218 -0.0310232 3.956 -19.048 3.552 -8.42 0.092 0.28 0.12
-1.39209 -0.60132 0.0943398 1.45038 -0.149563 0.627782 -0.413408 -0.550564 -0.502262 0.0891427 1.06461 -0.0820741 -0.580802 -0.0184569 3.924 -18.984 3.652 -8.392 0.08 0.26 0.14
-1.39324 -0.602471 0.0947233 1.4523 -0.15033 0.626248 -0.413024 -0.543888 -0.504226 0.0879646 1.05558 -0.0789325 -0.553706 -0.011781 3.924 -18.888 3.452 -8.332 0.1 0.172 0.14
-1.39401 -0.603621 0.0954903 1.4546 -0.149947 0.626631 -0.413408 -0.539961 -0.502655 0.0820741 1.04968 -0.0718639 -0.530536 -0.00824668 4.052 -18.888 3.584 -8.268 0.1 0.164 0.12
-1.39528 -0.603877 0.0952346 1.45588 -0.150202 0.625864 -0.412896 -0.536296 -0.501869 0.0805033 1.05021 -0.0702931 -0.516399 -0.00589049 4.03067 -18.8667 3.51733 -8.228 0.105333 0.150667 0.12
-1.39707 -0.604772 0.0939563 1.45805 -0.15033 0.624714 -0.413408 -0.530536 -0.498335 0.0812887 1.0544 -0.0742201 -0.485769 0.00235619 4.052 -18.824 3.452 -8.18 0.12 0.144 0.14
-1.39631 -0.605539 0.0947233 1.45997 -0.151481 0.623947 -0.413408 -0.533285 -0.489303 0.0816814 1.05047 -0.0860011 -0.460243 0.00942478 3.988 -18.76 3.584 -8.148 0.128 0.152 0.148
-1.39822 -0.605922 0.0947233 1.46265 -0.151097 0.623947 -0.413024 -0.534071 -0.481449 0.0738274 1.03869 -0.0997456 -0.437859 0.00746128 4.02 -18.728 3.484 -8.088 0.144 0.172 0.148
-1.39861 -0.607073 0.0943398 1.46418 -0.15033 0.622796 -0.413408 -0.528966 -0.469668 0.0628319 1.03005 -0.111919 -0.416654 0.00314159 4.112 -18.76 3.484 -8.056 0.156 0.144 0.14
-1.40014 -0.60784 0.0954903 1.46572 -0.151481 0.621646 -0.413024 -0.523075 -0.453567 0.0549779 1.02652 -0.114275 -0.39427 0.0015708 4.144 -18.728 3.452 -7.996 0.172 0.164 0.148
-1.40052 -0.608223 0.0951068 1.46802 -0.152248 0.620879 -0.413024 -0.510902 -0.442179 0.052229 1.02652 -0.111527 -0.386416 0.0011781 4.052 -18.76 3.352 -7.876 0.164 0.152 0.148
-1.40167 -0.610141 0.0954903 1.46994 -0.152631 0.620879 -0.413408 -0.499121 -0.435111 0.0592976 1.03005 -0.114668 -0.393484 0.00314159 4.204 -18.76 3.42 -7.844 0.164 0.144 0.14
-1.40167 -0.611291 0.0954903 1.47185 -0.152248 0.619345 -0.413024 -0.492052 -0.431969 0.0663661 1.0328 -0.126449 -0.39859 0.00628319 4.112 -18.728 3.452 -7.812 0.172 0.144 0.128
-1.40283 -0.612058 0.0962573 1.47454 -0.153398 0.617811 -0.413408 -0.48302 -0.437467 0.0655807 1.03201 -0.137837 -0.395055 0.00903208 4.176 -18.792 3.452 -7.812 0.172 0.144 0.14
-1.40359 -0.612314 0.0954903 1.47582 -0.153142 0.618066 -0.413408 -0.472548 -0.443488 0.0624392 1.03254 -0.142812 -0.394532 0.00903208 4.13333 -18.7707 3.43067 -7.772 0.166667 0.149333 0.126667
-1.40513 -0.613209 0.0958738 1.47914 -0.153398 0.61666 -0.413791 -0.450819 -0.452389 0.0557633 1.03594 -0.153938 -0.39427 0.000785398 4.052 -18.76 3.52 -7.784 0.164 0.144 0.12
-1.40704 -0.614743 0.0958738 1.48067 -0.153398 0.615893 -0.413024 -0.440608 -0.453175 0.0510509 1.04183 -0.15708 -0.39427 -0.00863938 4.144 -18.696 3.62 -7.784 0.164 0.164 0.1
-1.40679 -0.614743 0.0956181 1.4817 -0.154165 0.614871 -0.413024 -0.443226 -0.450033 0.0531453 1.04576 -0.154985 -0.398459 -0.0120428 4.144 -18.7173 3.66533 -7.80267 0.158667 0.156 0.113333
-1.40666 -0.61666 0.0962573 1.48413 -0.154165 0.613209 -0.414175 -0.452389 -0.442179 0.0573341 1.05086 -0.152367 -0.411941 -0.0180642 4.236 -18.792 3.688 -7.844 0.172 0.144 0.12
-1.40819 -0.617044 0.0962573 1.48681 -0.153782 0.612825 -0.413408 -0.448462 -0.440216 0.0557633 1.05047 -0.151582 -0.4249 -0.0227765 4.236 -18.6 3.72 -7.844 0.164 0.152 0.12
-1.40845 -0.618066 0.0962573 1.48758 -0.154037 0.612314 -0.413408 -0.441394 -0.442048 0.0523599 1.04864 -0.148964 -0.433278 -0.0251327 4.27867 -18.6 3.85333 -7.844 0.169333 0.16 0.12
-1.40934 -0.618578 0.0970243 1.49026 -0.155316 0.610524 -0.413791 -0.43354 -0.445321 0.0451604 1.04615 -0.144121 -0.446892 -0.0243473 4.176 -18.568 3.888 -7.936 0.192 0.132 0.12
-1.41126 -0.619728 0.0958738 1.49256 -0.156083 0.610524 -0.413408 -0.433147 -0.446892 0.0431969 1.04379 -0.143335 -0.455138 -0.0259181 4.236 -18.6 3.956 -7.964 0.172 0.152 0.14
-1.41126 -0.620495 0.0962573 1.49448 -0.156083 0.609374 -0.413024 -0.43943 -0.448462 0.0435896 1.04497 -0.146477 -0.461029 -0.0274889 4.176 -18.6 4.056 -7.964 0.192 0.152 0.12
