ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
1.48643 -0.579078 -0.45751 1.64328 0.620879 0.780796 1.44194 -0.151582 0.632246 -0.168861 -1.5331 -0.34047 0.719817 0.294917 -4.86 -15.136 -8.416 -6.264 0.016 0.464 0.12
1.48604 -0.577544 -0.456743 1.64059 0.620495 0.783481 1.44271 -0.156687 0.636173 -0.169646 -1.54213 -0.345575 0.710393 0.290205 -4.86 -15.168 -8.38 -6.264 0.024 0.424 0.128
1.48566 -0.576777 -0.45751 1.63791 0.619345 0.785015 1.44424 -0.16297 0.636565 -0.166112 -1.54488 -0.341256 0.704502 0.284314 -4.892 -15.168 -8.38 -6.232 0.052 0.444 0.1
1.48566 -0.575243 -0.457893 1.63369 0.618194 0.785782 1.44386 -0.164541 0.634602 -0.154723 -1.54331 -0.338899 0.710393 0.283921 -4.924 -15.136 -8.448 -6.232 0.072 0.436 0.112
1.48451 -0.574476 -0.458277 1.63101 0.617427 0.787316 1.44501 -0.158258 0.632246 -0.14255 -1.54763 -0.349502 0.721388 0.290205 -4.736 -15.168 -8.816 -6.264 0.08 0.436 0.168
1.48489 -0.572175 -0.459044 1.62794 0.617427 0.79 1.44501 -0.155116 0.628711 -0.134696 -1.56255 -0.364425 0.731206 0.294524 -4.8 -15.2 -8.984 -6.264 0.1 0.436 0.148
1.48451 -0.572175 -0.459044 1.62564 0.616277 0.791534 1.44578 -0.156294 0.626748 -0.134303 -1.57629 -0.37542 0.745736 0.297666 -4.924 -15.264 -9.12 -6.264 0.136 0.404 0.1
1.48413 -0.570257 -0.459044 1.62334 0.61551 0.792301 1.44693 -0.157865 0.629104 -0.13823 -1.57865 -0.380525 0.760265 0.298844 -4.924 -15.264 -9.252 -6.264 0.136 0.396 0.14
1.48298 -0.569107 -0.459427 1.6195 0.61551 0.793835 1.44693 -0.151582 0.630282 -0.140194 -1.5653 -0.37974 0.770476 0.30552 -4.736 -15.296 -9.588 -6.232 0.144 0.368 0.148
1.48221 -0.56834 -0.460194 1.61643 0.615126 0.795753 1.44731 -0.14844 0.628319 -0.141764 -1.55077 -0.371886 0.776366 0.310232 -4.828 -15.392 -9.788 -6.172 0.12 0.32 0.156
