ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-0.767757 -0.0855194 -0.00536893 1.48566 0.0567573 0.157617 0.0483204 0.362069 -0.0797179 -0.115846 -0.129591 0.346753 0.00706858 0.469668 4.956 -5.26 1.972 -0.536 0.352 0.54 0.168
-0.767246 -0.0867977 -0.00588026 1.48553 0.0582913 0.157617 0.0499822 0.37542 -0.0670206 -0.121868 -0.120951 0.348848 -0.001309 0.460636 4.97467 -5.25067 1.94933 -0.536 0.364 0.56 0.178667
-0.76699 -0.0870534 -0.00536893 1.48528 0.0582913 0.157617 0.0502379 0.378562 -0.0636173 -0.121344 -0.114668 0.353036 -0.00314159 0.45828 4.892 -5.232 1.904 -0.536 0.364 0.56 0.168
-0.765456 -0.0870534 -0.00613592 1.48451 0.0594418 0.157233 0.0517719 0.375813 -0.0699004 -0.11349 -0.104065 0.360498 -0.00471239 0.4626 5.08 -5.232 1.904 -0.536 0.352 0.552 0.156
-0.764498 -0.0876287 -0.00651942 1.48489 0.0596335 0.157617 0.0529223 0.37758 -0.0783435 -0.10328 -0.0918916 0.368352 -0.00333794 0.469275 4.94 -5.152 1.922 -0.52 0.332 0.56 0.148
-0.763922 -0.0876287 -0.00671117 1.48489 0.060784 0.157808 0.0536893 0.383667 -0.0850194 -0.102691 -0.0846267 0.367959 0.00294524 0.466919 5.018 -5.136 1.922 -0.534 0.314 0.568 0.162
-0.763347 -0.0874369 -0.00690291 1.48509 0.0613592 0.157808 0.0546481 0.38563 -0.0909098 -0.101709 -0.0742201 0.36521 0.00981748 0.461421 5.048 -5.152 1.972 -0.55 0.294 0.568 0.176
-0.762388 -0.0875647 -0.00715858 1.48528 0.0618706 0.157617 0.0556068 0.382751 -0.0929388 -0.1004 -0.0637482 0.364687 0.0121737 0.457364 5.05733 -5.136 2.00667 -0.536 0.288 0.568 0.169333
-0.761621 -0.0878204 -0.00690291 1.48528 0.0628932 0.157617 0.0563738 0.378562 -0.092677 -0.100138 -0.0553706 0.365996 0.0113883 0.455531 5.14 -5.136 1.94 -0.536 0.288 0.568 0.156
-0.760854 -0.0874369 -0.0076699 1.48413 0.0632767 0.157617 0.0563738 0.374242 -0.0895354 -0.101316 -0.0467312 0.371886 0.00824668 0.456316 5.14 -5.008 1.872 -0.536 0.288 0.588 0.156
-0.761238 -0.0874369 -0.00728641 1.48451 0.0640437 0.157233 0.0579078 0.376991 -0.0828595 -0.102887 -0.0439823 0.378562 0.00706858 0.457102 5.14 -5.008 1.94 -0.504 0.288 0.6 0.148
-0.759704 -0.0882039 -0.00792557 1.48425 0.0650664 0.157744 0.0591861 0.380525 -0.0680678 -0.106683 -0.0450295 0.381965 0.0010472 0.459982 5.04667 -4.948 1.92667 -0.536 0.294667 0.594667 0.145333
-0.758937 -0.0882039 -0.0076699 1.48451 0.0648107 0.157233 0.0594418 0.37974 -0.0620465 -0.110348 -0.0455531 0.383274 -0.00235619 0.463385 5.108 -4.948 1.972 -0.536 0.308 0.608 0.156
-0.75817 -0.0882039 -0.0080534 1.48528 0.0667282 0.157617 0.0605922 0.381311 -0.0608684 -0.113883 -0.0455531 0.38406 -0.00746128 0.471632 5.172 -4.916 1.972 -0.536 0.28 0.6 0.156
-0.756253 -0.0882039 -0.00843689 1.48489 0.0682621 0.157617 0.0609757 0.390736 -0.0592976 -0.109956 -0.0314159 0.387201 -0.0113883 0.475166 5.236 -4.916 1.972 -0.536 0.3 0.58 0.156
-0.755869 -0.0893544 -0.0080534 1.48413 0.0674952 0.157233 0.0613592 0.395055 -0.0565487 -0.110741 -0.0255254 0.40016 -0.0113883 0.472417 5.264 -4.98 1.972 -0.536 0.28 0.58 0.148
-0.755486 -0.0885874 -0.00920388 1.48451 0.0690291 0.157617 0.0625097 0.406836 -0.0534071 -0.111919 -0.0168861 0.409978 -0.0109956 0.470061 5.264 -4.948 1.94 -0.536 0.288 0.58 0.148
-0.753952 -0.0885874 -0.00920388 1.48374 0.0697961 0.157233 0.0648107 0.416261 -0.0553706 -0.112312 -0.0153153 0.410371 -0.0109956 0.470061 5.328 -4.948 1.872 -0.504 0.28 0.58 0.148
-0.753568 -0.0885874 -0.00882039 1.48413 0.0709466 0.157617 0.0648107 0.423722 -0.0549779 -0.111134 -0.0227765 0.407622 -0.00942478 0.473988 5.328 -4.948 1.872 -0.536 0.288 0.6 0.148
-0.751267 -0.0889709 -0.00882039 1.48413 0.0709466 0.158 0.0651942 0.438252 -0.0490874 -0.102494 -0.0294524 0.4088 -0.00392699 0.480271 5.42 -4.98 1.94 -0.536 0.288 0.568 0.148
-0.7505 -0.0893544 -0.00958738 1.48374 0.0720971 0.158 0.0667282 0.444143 -0.0467312 -0.0989602 -0.0282743 0.411941 0.00235619 0.475951 5.296 -5.04 1.972 -0.536 0.288 0.58 0.148
-0.750117 -0.0885874 -0.00920388 1.48413 0.0724806 0.158 0.0674952 0.462992 -0.0471239 -0.0938551 -0.02474 0.41469 0.00824668 0.467705 5.42 -5.008 1.94 -0.596 0.3 0.58 0.148
-0.749733 -0.0889709 -0.00997088 1.48451 0.0736311 0.15685 0.0682621 0.483805 -0.0510509 -0.0942478 -0.0188496 0.413119 0.0161007 0.467705 5.36 -5.072 1.94 -0.536 0.308 0.58 0.168
-0.748199 -0.0893544 -0.0103544 1.48451 0.0743981 0.157617 0.0697961 0.495586 -0.0541925 -0.0946405 -0.00981748 0.411549 0.0180642 0.472417 5.264 -5.072 1.94 -0.836 0.316 0.588 0.148
-0.747049 -0.0893544 -0.0105461 1.4847 0.0755486 0.157808 0.0709466 0.500888 -0.0555669 -0.097193 0.00647953 0.415868 0.0121737 0.472417 5.312 -5.152 1.956 -1.476 0.312 0.594 0.152
-0.746154 -0.0893544 -0.0103544 1.48451 0.075932 0.157744 0.0717136 0.502917 -0.0515745 -0.0989602 0.0153153 0.416523 0.0126973 0.471632 5.28667 -5.18933 1.928 -1.82933 0.308 0.585333 0.16
-0.745131 -0.0893544 -0.0111214 1.48451 0.076699 0.158 0.0724806 0.502655 -0.0471239 -0.0997456 0.0223838 0.415476 0.0153153 0.472417 5.204 -5.232 1.904 -2.088 0.308 0.58 0.168
-0.745515 -0.0893544 -0.0103544 1.48451 0.0763155 0.158 0.0724806 0.502655 -0.0428042 -0.0962113 0.0270962 0.413905 0.0204204 0.478307 5.236 -5.292 1.972 -2.448 0.288 0.54 0.148
-0.743597 -0.0893544 -0.0111214 1.48451 0.0778495 0.158384 0.0747816 0.499513 -0.0428042 -0.0918916 0.0227765 0.408407 0.0274889 0.479486 5.296 -5.324 1.872 -2.836 0.288 0.464 0.148
-0.74283 -0.0893544 -0.0115049 1.48413 0.0778495 0.159534 0.0747816 0.492052 -0.0416261 -0.0895354 0.015708 0.395055 0.0369137 0.476344 5.296 -5.42 1.872 -3.132 0.272 0.416 0.176
-0.741296 -0.0897379 -0.0118884 1.48413 0.0801505 0.160301 0.0763155 0.488125 -0.0357356 -0.0930697 0.00863938 0.383667 0.0553706 0.47281 5.264 -5.452 1.772 -3.432 0.308 0.348 0.176
